date,invested,portfolio_value,benchmark_value
2019-08-28,15405.004304634298,20920.9773200434,19225.630929913714
2019-08-29,15405.004304634298,21220.280756903798,19472.805730215783
2019-08-30,15405.004304634298,21161.831403996006,19487.9384532372
2019-09-02,15405.004304634298,21161.881594318533,19487.9384532372
2019-09-03,15405.004304634298,20968.83477606733,19354.852768780347
2019-09-04,15405.004304634298,21163.405693651264,19566.3430594331
2019-09-05,15405.004304634298,21592.727307215373,19825.444962218895
2019-09-06,15405.004304634298,21446.775071248416,19844.244708633454
2019-09-09,15405.004304634298,21418.33248986441,19843.981741271775
2019-09-10,15405.004304634298,21354.700480879088,19851.01894146575
2019-09-11,15405.004304634298,21571.47535426738,19995.57032555086
2019-09-12,15405.004304634298,21732.61155056093,20056.231894668992
2019-09-13,15405.004304634298,21738.247269854935,20047.211952833957
2019-09-16,15405.004304634298,21595.21318029749,19984.99677899624
2019-09-17,15405.004304634298,21671.001147584066,20036.672285509972
2019-09-18,15405.004304634298,21638.06418081958,20043.64334053935
2019-09-19,15405.004304634298,21674.213473041353,20045.22921119288
2019-09-20,15405.004304634298,21426.876558065942,19948.09100374701
2019-09-23,15405.004304634298,21374.319302162072,19946.108262105932
2019-09-24,15405.004304634298,20980.915536817047,19779.84997095758
2019-09-25,15405.004304634298,21327.20308661823,19901.702270510577
2019-09-26,15405.004304634298,21189.747753924905,19854.5536745297
2019-09-27,15405.004304634298,20924.16587724244,19751.864113148153
2019-09-30,15405.004304634298,21008.137564337696,19852.570932888622
2019-10-01,15405.004304634298,20904.983273165635,19610.08921267922
2019-10-02,15405.004304634298,20547.153332291015,19258.969706165048
2019-10-03,15405.004304634298,20743.854881046187,19417.330909979726
2019-10-04,15405.004304634298,21024.571112025904,19693.44986632947
2019-10-07,15405.004304634298,20957.628264218903,19605.329987421952
2019-10-08,15405.004304634298,20648.234593063607,19300.731504473384
2019-10-09,15405.004304634298,20829.50453190498,19482.55326886135
2019-10-10,15405.004304634298,20941.017315993406,19607.974180708956
2019-10-11,15405.004304634298,21128.601630568905,19824.322107717515
2019-10-14,15405.004304634298,21183.175248990618,19796.833145290882
2019-10-15,15405.29782204826,21512.700312961864,19994.27797231129
2019-10-16,15405.29782204826,21516.969365578818,19955.619589340928
2019-10-17,15405.29782204826,21647.623515270236,20012.28424108404
2019-10-18,15405.29782204826,21368.551873506094,19934.37377324305
2019-10-21,15405.29782204826,21525.786952968676,20071.95612201741
2019-10-22,15405.29782204826,21336.579808035847,20000.984545135263
2019-10-23,15405.29782204826,21465.81305473546,20058.64138891273
2019-10-24,15405.29782204826,21664.563623781047,20097.199746019476
2019-10-25,15405.29782204826,21728.03396088851,20179.404872714797
2019-10-28,15405.29782204826,22012.832970919237,20292.040448437183
2019-10-29,15405.29782204826,21708.257465781226,20275.38936878451
2019-10-30,15405.29782204826,21824.16456117643,20342.99071939068
2019-10-31,15405.29782204826,21814.505295763563,20282.855815507948
2019-11-01,15405.29782204826,21997.330198136453,20480.637600980277
2019-11-04,15405.29782204826,22141.289656031822,20556.763736479825
2019-11-05,15405.29782204826,22122.2215027014,20532.478424784094
2019-11-06,15405.29782204826,22083.260325672152,20548.40512358569
2019-11-07,15405.29782204826,22029.33538130089,20614.123729307183
2019-11-08,15405.29782204826,22129.521938625792,20670.688355186678
2019-11-11,15405.29782204826,22053.278462499387,20630.04881478838
2019-11-12,15405.29782204826,22077.68269195071,20663.4203468701
2019-11-13,15405.29782204826,22018.506846462857,20678.850142994335
2019-11-14,15405.29782204826,22111.57414141067,20701.44953489188
2019-11-15,15405.29782204826,22245.649766728282,20864.407799939552
2019-11-18,15405.29782204826,22244.53489430376,20875.24447293897
2019-11-19,15405.29782204826,22221.430572777514,20864.14321539706
2019-11-20,15405.29782204826,22104.00815328066,20789.833678646555
2019-11-21,15405.29782204826,22089.895758852213,20758.180332770637
2019-11-22,15405.29782204826,22084.130846553257,20803.611434700593
2019-11-25,15554.987824489666,22490.53358822757,21111.96343001499
2019-11-26,15554.987824489666,22614.234772216074,21158.883962975488
2019-11-27,15554.987824489666,22747.994772762326,21249.728822130583
2019-11-28,15554.987824489666,22748.02828739318,21249.728822130583
2019-11-29,15554.987824489666,22624.46701163275,21169.20007835333
2019-12-02,15554.987824489666,22370.44053731038,20987.24226128154
2019-12-03,15554.987824489666,22342.72035148623,20848.612453764916
2019-12-04,15554.987824489666,22526.88193932553,20982.61796385432
2019-12-05,15554.987824489666,22507.25570737773,21019.886941397526
2019-12-06,15554.987824489666,22705.044675029007,21212.92617394845
2019-12-09,15554.987824489666,22663.141708608047,21147.602692055898
2019-12-10,15554.987824489666,22615.438527962844,21125.10839353786
2019-12-11,15554.987824489666,22736.910055655728,21186.76948386298
2019-12-12,15554.987824489666,22813.841563371974,21371.48953059964
2019-12-13,15554.987824489666,22871.524239220464,21376.747516008796
2019-12-16,15554.987824489666,23132.18111739488,21530.152002550596
2019-12-17,15554.987824489666,23178.908998039777,21537.50765766407
2019-12-18,15554.987824489666,23177.213925057087,21530.052887250862
2019-12-19,15554.987824489666,23308.615855157193,21627.419858097037
2019-12-20,15554.987824489666,23299.557824367443,21735.536776862562
2019-12-23,15554.987824489666,23337.1412137314,21754.337811834543
2019-12-24,15554.987824489666,23321.239445993688,21751.60970383022
2019-12-25,15554.987824489666,23321.273759408254,21751.60970383022
2019-12-26,15554.987824489666,23762.04505874947,21865.18283860437
2019-12-27,15554.987824489666,23719.995431426,21866.24710944586
2019-12-30,15554.987824489666,23457.728288248767,21742.72507335517
2019-12-31,15554.987824489666,23489.577160950335,21808.14604570649
2020-01-01,15554.987824489666,23489.821095376567,21808.14604570649
2020-01-02,15554.987824489666,23991.99576313494,21993.564774064274
2020-01-03,15554.987824489666,23818.5112264472,21840.59087038201
2020-01-06,15554.987824489666,24189.688046408057,21917.860183154713
2020-01-07,15554.987824489666,24217.696209410533,21858.62823009371
2020-01-08,15554.987824489666,24335.894085560605,21966.477050097637
2020-01-09,15554.987824489666,24541.884514372432,22118.51829505776
2020-01-10,15554.987824489666,24528.839663124043,22055.393223010255
2020-01-13,15554.987824489666,24774.784106322055,22209.33065739326
2020-01-14,15554.987824489666,24615.310569774552,22177.818491439877
2020-01-15,15554.987824489666,24635.119544904883,22219.713391251276
2020-01-16,15554.987824489666,24781.051754947588,22406.396245890995
2020-01-17,15554.987824489666,24949.93846952729,22493.447101359325
2020-01-20,15554.987824489666,24950.662361478793,22493.447101359325
2020-01-21,15554.987824489666,25001.217055886475,22434.21514829833
2020-01-22,15554.987824489666,25002.448721629364,22441.50256009069
2020-01-23,15554.987824489666,25046.214627063033,22468.75601783721
2020-01-24,15554.987824489666,24794.356075430787,22266.20171651127
2020-01-27,15554.987824489666,24254.14222685214,21915.89737525166
2020-01-28,15772.77777159745,24825.209608579815,22354.47721399656
2020-01-29,15772.77777159745,24918.454073171626,22335.625754414716
2020-01-30,15772.77777159745,24939.03452789517,22408.983840843903
2020-01-31,15772.77777159745,25016.760018476703,22014.067995808087
2020-02-03,15772.77777159745,25562.82383854852,22174.12409088773
2020-02-04,15772.77777159745,25826.30385284353,22506.335738176123
2020-02-05,15772.77777159745,25686.495020887363,22760.012490350477
2020-02-06,15772.77777159745,25994.78932731413,22839.520395781554
2020-02-07,15772.77777159745,26029.990035219314,22720.627723674275
2020-02-10,15772.77777159745,26446.218230179908,22890.564877993354
2020-02-11,15772.77777159745,26487.269984406004,22930.08255164371
2020-02-12,15772.77777159745,26744.385786187682,23079.049938928576
2020-02-13,15772.77777159745,26708.556070072253,23048.806218586313
2020-02-14,15772.77777159745,26731.75126918361,23095.04635980624
2020-02-17,15772.77777159745,26732.508466179024,23095.04635980624
2020-02-18,15772.77777159745,26866.099045232553,23029.047381761127
2020-02-19,15772.77777159745,27065.04836906704,23141.38659146351
2020-02-20,15772.77777159745,26890.418082231787,23054.183208145863
2020-02-21,15772.77777159745,26327.308346700913,22812.502541009628
2020-02-24,15772.77777159745,25175.943142749053,22050.83072119158
2020-02-25,15772.77777159745,24561.3098199651,21383.554028737428
2020-02-26,15772.77777159745,24583.600777867974,21302.93692436151
2020-02-27,15772.77777159745,23414.517194457854,20366.356244894687
2020-02-28,15772.77777159745,23639.421120823135,20201.89781139933
2020-03-02,15772.77777159745,24551.312143172574,21132.430403128445
2020-03-03,15772.77777159745,23840.251160921332,20539.08116401745
2020-03-04,15772.77777159745,24636.854956316587,21407.009648436477
2020-03-05,15772.77777159745,23761.447318443526,20685.29360303548
2020-03-06,15772.77777159745,23364.603232056266,20333.18857112088
2020-03-09,15772.77777159745,21882.12077566395,18790.558652789972
2020-03-10,15772.77777159745,22952.785175711095,19719.274849205536
2020-03-11,15772.77777159745,21921.195555599035,18757.020152149984
2020-03-12,15772.77777159745,20027.434470165088,16976.70826169554
2020-03-13,15772.77777159745,21670.944665755615,18559.05931620516
2020-03-16,15772.77777159745,19477.532533676404,16335.709411107779
2020-03-17,15772.77777159745,20427.335104968777,17315.63909489984
2020-03-18,15772.77777159745,19935.227643838974,16418.239719580873
2020-03-19,15772.77777159745,20396.977548456278,16496.705699967602
2020-03-20,15772.77777159745,19833.20514044789,15784.163517437348
2020-03-23,15772.77777159745,19993.258132041832,15321.804766735906
2020-03-24,15772.77777159745,21183.831261074356,16761.069157360536
2020-03-25,15772.77777159745,20950.433366770445,16954.461931378668
2020-03-26,15772.77777159745,21851.83582540772,18013.46306066196
2020-03-27,15772.77777159745,20932.072102630038,17406.672168065503
2020-03-30,15772.77777159745,21593.216341439085,17992.96421093126
2020-03-31,15772.77777159745,21654.528828447474,17706.690792723948
2020-04-01,15772.77777159745,20771.993435754346,16925.19286218023
2020-04-02,15772.77777159745,20858.535193542182,17314.429805517662
2020-04-03,15772.77777159745,20582.06266717424,17054.63605087826
2020-04-06,15772.77777159745,21998.280203413713,18254.33644099217
2020-04-07,15772.77777159745,22047.40155637473,18225.269193495245
2020-04-08,15772.77777159745,22446.263714933444,18850.406171006358
2020-04-09,15772.77777159745,22576.395634528577,19125.927250921402
2020-04-10,15772.77777159745,22576.663111827445,19125.927250921402
2020-04-13,15772.77777159745,23164.327746544128,18933.07266810729
2020-04-14,15772.77777159745,24224.825115190815,19514.256817015485
2020-04-15,15772.77777159745,24217.751854423695,19085.567833101348
2020-04-16,15772.77777159745,24607.071547032465,19196.697753421548
2020-04-17,15772.77777159745,24806.961695281236,19711.84846692098
2020-04-20,15772.77777159745,24692.605863454075,19359.341432430225
2020-04-21,15772.77777159745,23816.896230891758,18766.026650682903
2020-04-22,15772.77777159745,24472.401798711977,19196.865117759382
2020-04-23,15772.77777159745,24649.387561030722,19188.094898291634
2020-04-24,15772.77777159745,24862.204843285315,19455.61694735444
2020-04-27,15772.77777159745,24859.536467439975,19742.226735064265
2020-04-28,15772.77777159745,24308.26895670655,19638.861207357975
2020-04-29,15772.77777159745,25521.77248923331,20161.607308306637
2020-04-30,15772.77777159745,25855.89378874549,19976.58275118009
2020-05-01,15772.77777159745,24852.093826737546,19418.24875686643
2020-05-04,15772.77777159745,25138.17031926533,19500.882437430526
2020-05-05,15772.77777159745,25371.375389602414,19677.169591626156
